sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
56,21500001,4,5:58,,MISS Jackson 27' 3PT Pullup Jump Shot,,202704,Reggie Jackson,DET,0,,,0,,,Missed Shot ,
57,21500001,4,5:56,Millsap REBOUND (Off:1 Def:6),,,200794,Paul Millsap,ATL,0,,,0,,,Rebound ,Unknown
58,21500001,4,5:44,Schroder 1' Driving Finger Roll Layup (20 PTS) (Teague 3 AST),,90 - 78,203471,Dennis Schroder,ATL,201952,Jeff Teague,ATL,0,,,Made Shot ,
59,21500001,4,5:24,Korver S.FOUL (P3.T3) (E.Roe),,,2594,Kyle Korver,ATL,202694,Marcus Morris,DET,0,,,Foul ,Shooting
60,21500001,4,5:24,,Marc Morris Free Throw 1 of 2 (13 PTS),91 - 78,202694,Marcus Morris,DET,0,,,0,,,Free Throw ,Free Throw 1 of 2
61,21500001,4,5:24,,Marc Morris Free Throw 2 of 2 (14 PTS),92 - 78,202694,Marcus Morris,DET,0,,,0,,,Free Throw ,Free Throw 2 of 2
62,21500001,4,5:16,MISS Scott 25' 3PT Jump Shot,,,203118,Mike Scott,ATL,0,,,0,,,Missed Shot ,
63,21500001,4,5:13,,Jackson REBOUND (Off:0 Def:6),,202704,Reggie Jackson,DET,0,,,0,,,Rebound ,Unknown
64,21500001,4,5:01,,MISS Jackson 2' Driving Layup,,202704,Reggie Jackson,DET,0,,,0,,,Missed Shot ,
65,21500001,4,4:59,,Drummond REBOUND (Off:5 Def:8),,203083,Andre Drummond,DET,0,,,0,,,Rebound ,Unknown
66,21500001,4,4:59,,MISS Drummond 1' Tip Layup Shot,,203083,Andre Drummond,DET,0,,,0,,,Missed Shot ,
67,21500001,4,4:57,,Ilyasova REBOUND (Off:2 Def:3),,101141,Ersan Ilyasova,DET,0,,,0,,,Rebound ,Unknown
68,21500001,4,4:57,,MISS Ilyasova 2' Putback Layup,,101141,Ersan Ilyasova,DET,0,,,0,,,Missed Shot ,
69,21500001,4,4:56,,Drummond REBOUND (Off:6 Def:8),,203083,Andre Drummond,DET,0,,,0,,,Rebound ,Unknown
70,21500001,4,4:56,,Ilyasova 1' Putback Layup (15 PTS),94 - 78,101141,Ersan Ilyasova,DET,0,,,0,,,Made Shot ,
71,21500001,4,4:47,,Drummond S.FOUL (P3.T4) (E.Roe),,203083,Andre Drummond,DET,201952,Jeff Teague,ATL,0,,,Foul ,Shooting
72,21500001,4,4:47,MISS Teague Free Throw 1 of 2,,,201952,Jeff Teague,ATL,0,,,0,,,Free Throw ,Free Throw 1 of 2
73,21500001,4,4:47,HAWKS Rebound,,,1610612737,,,0,,,0,,,Rebound ,Normal Rebound
74,21500001,4,4:47,,SUB: Johnson FOR Ilyasova,,101141,Ersan Ilyasova,DET,1626169,Stanley Johnson,DET,0,,,Substitution ,
75,21500001,4,4:47,SUB: Patterson FOR Schroder,,,203471,Dennis Schroder,ATL,203934,Lamar Patterson,ATL,0,,,Substitution ,
76,21500001,4,4:47,SUB: Horford FOR Scott,,,203118,Mike Scott,ATL,201143,Al Horford,ATL,0,,,Substitution ,
77,21500001,4,4:47,Teague Free Throw 2 of 2 (11 PTS),,94 - 79,201952,Jeff Teague,ATL,0,,,0,,,Free Throw ,Free Throw 2 of 2
78,21500001,4,4:36,,MISS Caldwell-Pope 24' 3PT Jump Shot,,203484,Kentavious Caldwell-Pope,DET,0,,,0,,,Missed Shot ,
79,21500001,4,4:35,Horford REBOUND (Off:0 Def:1),,,201143,Al Horford,ATL,0,,,0,,,Rebound ,Unknown
80,21500001,4,4:27,Korver 25' 3PT Pullup Jump Shot (5 PTS) (Teague 4 AST),,94 - 82,2594,Kyle Korver,ATL,201952,Jeff Teague,ATL,0,,,Made Shot ,
81,21500001,4,4:08,,MISS Jackson 9' Driving Floating Jump Shot,,202704,Reggie Jackson,DET,0,,,0,,,Missed Shot ,
82,21500001,4,4:05,,Jackson REBOUND (Off:1 Def:6),,202704,Reggie Jackson,DET,0,,,0,,,Rebound ,Unknown
83,21500001,4,4:05,,MISS Jackson 1' Putback Layup,,202704,Reggie Jackson,DET,0,,,0,,,Missed Shot ,
84,21500001,4,4:05,,Pistons Rebound,,1610612765,,,0,,,0,,,Rebound ,Unknown
85,21500001,4,4:05,Patterson L.B.FOUL (P1.T4) (E.Roe),,,203934,Lamar Patterson,ATL,203083,Andre Drummond,DET,0,,,Foul ,Loose Ball
86,21500001,4,3:53,Horford BLOCK (2 BLK),MISS Johnson 9' Jump Shot,,1626169,Stanley Johnson,DET,0,,,201143,Al Horford,ATL,Missed Shot ,
87,21500001,4,3:50,,Marc Morris REBOUND (Off:4 Def:5),,202694,Marcus Morris,DET,0,,,0,,,Rebound ,Unknown
88,21500001,4,3:44,,MISS Johnson 25' 3PT Driving Floating Jump Shot,,1626169,Stanley Johnson,DET,0,,,0,,,Missed Shot ,
89,21500001,4,3:43,Millsap REBOUND (Off:1 Def:7),,,200794,Paul Millsap,ATL,0,,,0,,,Rebound ,Unknown
90,21500001,4,3:38,,Drummond P.FOUL (P4.PN) (E.Roe),,203083,Andre Drummond,DET,203934,Lamar Patterson,ATL,0,,,Foul ,Personal
91,21500001,4,3:38,Patterson Free Throw 1 of 2 (4 PTS),,94 - 83,203934,Lamar Patterson,ATL,0,,,0,,,Free Throw ,Free Throw 1 of 2
92,21500001,4,3:38,Patterson Free Throw 2 of 2 (5 PTS),,94 - 84,203934,Lamar Patterson,ATL,0,,,0,,,Free Throw ,Free Throw 2 of 2
93,21500001,4,3:15,,Marc Morris 19' Fadeaway Jumper (16 PTS) (Johnson 3 AST),96 - 84,202694,Marcus Morris,DET,1626169,Stanley Johnson,DET,0,,,Made Shot ,
94,21500001,4,3:04,MISS Millsap 1' Driving Layup,,,200794,Paul Millsap,ATL,0,,,0,,,Missed Shot ,
95,21500001,4,3:02,,Drummond REBOUND (Off:6 Def:9),,203083,Andre Drummond,DET,0,,,0,,,Rebound ,Unknown
96,21500001,4,2:52,,,,0,,,0,,,0,,,Timeout ,Official
97,21500001,4,2:52,,SUB: Ilyasova FOR Johnson,,1626169,Stanley Johnson,DET,101141,Ersan Ilyasova,DET,0,,,Substitution ,
98,21500001,4,2:52,Horford STEAL (2 STL),Jackson Lost Ball Turnover (P2.T15),,202704,Reggie Jackson,DET,201143,Al Horford,ATL,0,,,Turnover ,Lost Ball
99,21500001,4,2:52,Jump Ball Horford vs. Jackson: Tip to Patterson,,,201143,Al Horford,ATL,202704,Reggie Jackson,DET,203934,Lamar Patterson,ATL,Jump Ball ,
100,21500001,4,2:36,Korver 20' Pullup Jump Shot (7 PTS) (Horford 3 AST),,96 - 86,2594,Kyle Korver,ATL,201143,Al Horford,ATL,0,,,Made Shot ,
101,21500001,4,2:09,,MISS Marc Morris 20' Step Back Jump Shot,,202694,Marcus Morris,DET,0,,,0,,,Missed Shot ,
102,21500001,4,2:07,,Drummond REBOUND (Off:7 Def:9),,203083,Andre Drummond,DET,0,,,0,,,Rebound ,Unknown
